"OBJECTID";"KOD";"KAT";"NAZEV";"ROZL";"ZMENA_G";"ZMENA_T";"PREKRYV";"SHAPEAREA";"SHAPELEN"
3873;21;"CHKO";"Blaník";4029.1954;20030101;20170901;0;40291953.6210938;31958.5821980091
3874;22;"CHKO";"Èeský kras";13225.7006;20120824;20170901;0;132257005.940802;83895.2264422819
3875;23;"CHKO";"Kokoøínsko - Máchùv kraj";41037.1433;20150223;20170901;0;410371433.474411;198507.505904818
3876;24;"CHKO";"Køivoklátsko";62497.146;20131107;20170901;0;624971460.184293;138706.87213107
3877;31;"CHKO";"Blanský les";21968.9976;20091120;20170901;0;219689976.388891;79790.3491906026
3878;32;"CHKO";"Tøeboòsko";68744.6196;20091218;20170901;0;687446196.053139;143605.353447789
3879;41;"CHKO";"Slavkovský les";61060.172;20131107;20170901;0;610601720.278038;153072.817098312
3880;42;"NP";"Šumava";68584.4076;20131107;20170901;0;685844076.046071;222877.221780013
3881;43;"CHKO";"Šumava";99420.41;20171116;20171116;0;994204100.392452;361966.166570893
3882;44;"CHKO";"Èeský les";46554.851;20140124;20170901;0;465548510.10835;224990.091486533
3883;51;"CHKO";"Èeské støedohoøí";106899.4693;20131122;20170901;0;1068994693.27469;222102.39261649
3884;52;"CHKO";"Jizerské hory";37414.6237;20151103;20170901;1;374146237.051199;129515.557661697
3885;53;"CHKO";"Labské pískovce";24268.6341;20131011;20170901;0;242686341.184894;185490.712886863
3886;54;"CHKO";"Lužické hory";27046.0064;20131107;20170901;0;270460063.733807;103293.768485304
3887;55;"NP";"Èeské Švýcarsko";7926.3322;20100225;20170901;0;79263322.1125892;96682.9252478476
3888;62;"CHKO";"Broumovsko";43232.7249;20120423;20170901;0;432327249.174325;114634.282754849
3889;63;"CHKO";"Èeský ráj";18170.4898;20051031;20170901;0;181704898.445313;144021.287778986
3890;64;"CHKO";"Orlické hory";23322.9242;20100128;20170901;0;233229242.496149;116528.917182582
3891;65;"CHKO";"Železné hory";28472.7782;20160531;20170901;0;284727782.449736;126692.420328435
3892;66;"NP";"Krkonošský národní park";36320.0904;20151103;20170901;1;363200904.076545;260357.8916273
3893;66;"OP";"Krkonošský národní park";18653.9282;20151103;20170901;1;186539282.329521;279754.084162232
3894;71;"CHKO";"Bílé Karpaty";74687.732;20131107;20170901;0;746877319.959843;236422.585415593
3895;72;"CHKO";"Moravský kras";9682.3683;20190612;20190612;0;96823683.2586393;95435.4056425096
3896;73;"CHKO";"Pálava";8535.8573;20090804;20170901;0;85358572.9609375;47824.6736552689
3897;75;"CHKO";"Žïárské vrchy";70888.8253;20091202;20170901;0;708888252.554187;134117.528866502
3898;78;"NP";"Podyjí";6274.3086;20150608;20170901;0;62743086.4601352;105684.202949262
3899;78;"OP";"Podyjí";2823.8776;20140124;20140124;0;28238775.6224842;122708.857334508
3900;82;"CHKO";"Beskydy";120510.2561;20091204;20170901;0;1205102561.46023;258167.778538527
3901;83;"CHKO";"Jeseníky";74369.6784;20030101;20170901;0;743696783.884765;161704.852219503
3902;84;"CHKO";"Litovelské Pomoraví";9329.6773;20091203;20170901;0;93296773.0546875;95852.9150325553
3903;85;"CHKO";"Poodøí";8153.1094;20170314;20170314;0;81531093.6979384;97109.8543521247
3904;6018;"CHKO";"Brdy";34499.3427;20151222;20151222;0;344993427.48512;195780.324072707
