Gh id,Wmo id,Name,Full name,Latitude,Longitude,Elevation,Station ty,Rg region,Di distric,Ba basin,Xcoo,Ycoo
B1BLAT01,,Blatnice,Blatnice pod svatım Antonínkem,"485647","172740",211.000000000000000,MSS,Jihomoravskı,Hodonín,Morava,17.46111111,48.94638889
B1BOJK01,,Bojkovice,Bojkovice,"490225","174836",302.000000000000000,AKS3,Zlínskı,Uherské Hradištì,Olšava,17.81000000,49.04027778
B1BUCH01,,Buchlovice,Buchlovice,"490515","172021",255.000000000000000,MSS,Zlínskı,Uherské Hradištì,Morava,17.33916667,49.08750000
L3AS0001,"11401",Aš,Aš,"501314","121047",675.000000000000000,AKS1,Karlovarskı,Cheb,Ohøe,12.17972222,50.22055556
B1BZEN01,,Bzenec,Bzenec,"485854","171820",182.000000000000000,MSS,Jihomoravskı,Hodonín,Morava,17.30555556,48.98166667
B1DREV01,,Døevohostice,Døevohostice,"492536","173540",238.000000000000000,ASS,Olomouckı,Pøerov,Moštìnka,17.59444444,49.42666667
B1HLHO01,,Horní Lhota,Horní Lhota,"490918","174812",348.000000000000000,ASS,Zlínskı,Zlín,Olšava,17.80333333,49.15500000
B1HLHO02,,Horní Lhota,Horní Lhota,"490918","174812",348.000000000000000,MSS,Zlínskı,Zlín,Olšava,17.80333333,49.15500000
B1HLUK01,,Hluk,Hluk,"485911","173217",225.000000000000000,MSS,Zlínskı,Uherské Hradištì,Morava,17.53805556,48.98638889
B1HODO01,,Hodonín,Hodonín,"485142","170844",175.000000000000000,MSS,Jihomoravskı,Hodonín,Morava,17.14555556,48.86166667
L3CHEB01,"11406",Cheb,Cheb,"500406","122329",483.000000000000000,AMS1,Karlovarskı,Cheb,Ohøe,12.39138889,50.06833333
B1HOLE02,,Holešov,Holešov,"491914","173411",222.300000000000011,MSS,Zlínskı,Kromìøí,Morava,17.56972222,49.32055556
B1CHKO01,,Kostelany,Kostelany,"491209","172245",403.000000000000000,MSS,Zlínskı,Kromìøí,Morava,17.37916667,49.20250000
L3SIND01,"11408",Šindelová,"Šindelová, Obora","501902","123549",587.000000000000000,AKS1,Karlovarskı,Sokolov,Ohøe,12.59694444,50.31722222
B1KLZI01,,Luhaèovice,"Luhaèovice, Kladná-ilín","490503","174733",329.000000000000000,AKS2,Zlínskı,Zlín,Olšava,17.79250000,49.08416667
B1KOJE01,,Kojetín,Kojetín,"492110","171740",203.000000000000000,MSS,Olomouckı,Pøerov,Haná,17.29444444,49.35277778
B1KRAL01,,Kralice na Hané,Kralice na Hané,"492735","171058",210.000000000000000,MSS,Olomouckı,Prostìjov,Valová,17.18277778,49.45972222
L7KYNZ01,"11409",Kynvart,Kynvart,"500025","123805",710.000000000000000,AKS,Karlovarskı,Cheb,Ohøe,12.63472222,50.00694444
